Remove,Remove [1]
Close,Stäng
Cancel,Cancel
Back,Tillbaka
Add Products,Lägg Till Produkter
Update Items and Qty's,Uppdatera Artiklar och Antal
Product,Produkt
Price,Pris
Quantity,Antal
Products,Produkter
ID,ID
SKU,SKU
Apply,Apply
Configure,Konfigurera
Shopping Cart,Kundvagn
Quote item id is not received.,Quote item id is not received.
Quote item is not loaded.,Quote item is not loaded.
No,Nej
Apply Coupon Code,Applicera Kupongkod
Remove Coupon Code,Ta Bort Kupongkod
Qty,Qty
Row Subtotal,Rad Delsumma
Action,Aktion
No ordered items,Inga beställda artiklar
Total %1 product(s),Totalt %1 produkt(er)
Subtotal:,Delsumma:
Excl. Tax,Exkl. Moms
Total,Totalt
Incl. Tax,Inkl. Moms
Total incl. tax,Totalt inkl. moms
Move to Wishlist,Fyltta till Önskalistan
Edit,Regidera
Item,Artikel
Add to Cart,Köp
Sku,Sku
Order saving error: %1,Order spara error: %1
You created the order.,Du skapade ordern.
Orders,Beställningar
Customer,Kund
Guest,Gäst
Account Information,Konto Information
First Name,Förnamn
Last Name,Efternamn
Email,Email
Refresh,Uppdatera
Enable,Aktivera
General,Allmän
Yes,Ja
Name,Namn
Status,Status
Enabled,Aktiverad
Title,Titel
Home,Hem
Any,Any
From,Från
To,Till
 [deleted], [raderat]
Dashboard,Dashboard
title,titel
Specified,Specificerade
Order,Ordern
Order #%1,Ordern #%1
Shipping Amount,Frakt Beloppet
Tax Amount,Skattebeloppet
View,Se
We cannot add this item to your shopping cart.,Vi kan inte lägga till denna artikel i din kundvagn.
N/A,N/A
Ordered,Ordern
Invoiced,Fakturerad
Shipped,Fraktat
Refunded,Återbetalat
Canceled,Makulerat
From:,Från:
To:,Till:
Gift Message,Present Meddelande
Message:,Meddelande:
Tier Pricing,Tier Pricing
Go to Home Page,Gå till Hemsida
Customer Group,Kund Grup
Closed,Stängt
Product Name,Produkt Namn
Discount Amount,Rea Belopp
Country,Land
State/Province,Län
Payment Information,Betalnings Information
Shipping Information,Frakt Information
Shipping Method,Frakt Metod
Clear Shopping Cart,Rensa Kundvagn
City,Stad
Zip/Postal Code,Postnummer
Email Address,Email Adress
Company,Firma
Address,Adress
Street Address,Gatu Adress
Telephone,Telefon
Save in address book,Spara i adressboken
Continue,Fortsätt
Order #,Ordern #
No Payment Methods,Inga Betalningsmetoder
Billing Address,Faktura Adress
Shipping Address,Frakt Adress
Payment Method,Betalningssätt
Sales,Försäjlning
Created,Skapat
Select,Välj
Comment,Kommentar
%1,%1
Date,Datum
Add New Address,Lägg Ny Adress
Purchase Date,Faktura Datum
Bill-to Name,Faktura Namn
Ship-to Name,Leverans Namn
Order Total,Beställningsbelopp
Purchase Point,Inköpspunkt
Recent Orders,Orderhistorik
Notified,Meddelat
Notify Customer by Email,Meddela till kund med Email
Billing,Fakturering
Newsletter Subscription,Nyhetsbrev Prenumeration
Order Status,Orderstatus
Wish List,Önskelista
Pending,Pågående
View Order,Visa Beställning
Amount,Belopp
Message,Meddelande
Information,Information
Gift Options,Present Alternativ
"If you don't want to leave a gift message for the entire order, leave this box blank.","Om du inte vill lämna meddelande för ordern, lämna rutan tom."
New,Ny
Custom Price,Extrapris
Processing,Bearbetning
Add To Order,Köp
Configure and Add to Order,Konfigurera och Köp
No items,Inga Artiklar
Authorization,Tillåtelse
Ordered amount of %1,Ordered amount of %1
Payment transactions disallow storing objects.,Betalningstransaktioner inte tillåta lagring av objekt.
Transaction ID,Transaktion ID
Order ID,Beställning ID
Void,Ogiltig
Created At,Skapade På
Payment Method:,Betalningsalternativ:
Ship To,Leveransadress
Invalid parent block for this block,Invalid parent block for this block
Grand Total (Base),Att Betala (Bas)
Grand Total (Purchased),Att Betala (Köpt)
Customer Name,Kund Namn
